selection_date,review_cycle_id,market,rule_version,distribution_source,metric,percentile_method,n_calculated,n_seasoning_excluded,P5,P10,P25,P50,P75,below_P10_count,below_P10_security_ids,min_security_id,min_value,second_value,min_gap_to_P10_pct,threshold_status,approval_status
2026-03-31,RC-2026-03-31,KR,v0.9-pilot,06_코드\data\pilot_run\output_f1\adtv90_ledger.csv,official_adtv90,linear,9,0,54865771978.16,74929527453.83112,114736102244.44444,133374715887.22224,157231232734.28888,1,018260,018260,34802016502.48889,84961405191.66667,-53.553668780398155,TEMPORARY_P10_DIAGNOSTIC,APPROVAL_PENDING
2026-03-31,RC-2026-03-31,US,v0.9-pilot,06_코드\data\pilot_run\output_f1\adtv90_ledger.csv,official_adtv90,linear,8,1,267374006.79388887,300714663.35444444,689198403.2069445,926570950.5833334,1104501271.2083333,1,ATI,ATI,234033350.2333333,329292368.9777778,-22.17428055462518,TEMPORARY_P10_DIAGNOSTIC,APPROVAL_PENDING
2026-06-30,RC-2026-06-30,KR,v0.9-pilot,06_코드\data\pilot_run\output_f1\adtv90_ledger.csv,official_adtv90,linear,9,0,119576151047.70222,127631746708.49333,142895054352.22223,184593192340.52225,241828532899.13333,1,018260,018260,111520555386.91112,131659544538.88889,-12.62318485570807,TEMPORARY_P10_DIAGNOSTIC,APPROVAL_PENDING
2026-06-30,RC-2026-06-30,US,v0.9-pilot,06_코드\data\pilot_run\output_f1\adtv90_ledger.csv,official_adtv90,linear,8,1,316019767.6288889,316884754.0355556,841679825.6472223,1283237553.472222,1327477842.8555555,1,KTOS,KTOS,315154781.2222222,317626170.9555556,-0.5459312230399305,TEMPORARY_P10_DIAGNOSTIC,APPROVAL_PENDING
