security_id,market,selection_date,review_cycle_id,data_cutoff_date,observation_end_date,seasoning_status,adtv90_status,official_adtv90,adtv90_zero,adtv90_exclude_halt,missing_days_90,halt_days_90,zero_volume_days_90,rule_version,P10_candidate,distance_to_P10,distance_to_P10_pct,pass_P10_candidate,official_minus_exclude_halt,threshold_status
064400,KR,2026-06-30,RC-2026-06-30,2026-06-23,2026-06-23,SEASONED,CALCULATED,142895054352.22223,142895054352.22223,142895054352.22223,0,0,0,v0.9-pilot,127631746708.49333,15263307643.728897,11.958864496769595,True,0.0,TEMPORARY_P10_DIAGNOSTIC
079550,KR,2026-06-30,RC-2026-06-30,2026-06-23,2026-06-23,SEASONED,CALCULATED,320645064829.6222,320645064829.6222,320645064829.6222,0,0,0,v0.9-pilot,127631746708.49333,193013318121.12885,151.22673088692022,True,0.0,TEMPORARY_P10_DIAGNOSTIC
267260,KR,2026-06-30,RC-2026-06-30,2026-06-23,2026-06-23,SEASONED,CALCULATED,192322301520.3333,192322301520.3333,192322301520.3333,0,0,0,v0.9-pilot,127631746708.49333,64690554811.83998,50.685316529899936,True,0.0,TEMPORARY_P10_DIAGNOSTIC
298040,KR,2026-06-30,RC-2026-06-30,2026-06-23,2026-06-23,SEASONED,CALCULATED,178480884780.33334,178480884780.33334,178480884780.33334,0,0,0,v0.9-pilot,127631746708.49333,50849138071.84001,39.84050942120048,True,0.0,TEMPORARY_P10_DIAGNOSTIC
307950,KR,2026-06-30,RC-2026-06-30,2026-06-23,2026-06-23,SEASONED,CALCULATED,131659544538.88889,131659544538.88889,131659544538.88889,0,0,0,v0.9-pilot,127631746708.49333,4027797830.3955536,3.155796213927009,True,0.0,TEMPORARY_P10_DIAGNOSTIC
ALAB,US,2026-06-30,RC-2026-06-30,2026-06-23,2026-06-23,SEASONED,CALCULATED,1252321402.711111,1252321402.711111,1252321402.711111,0,0,0,v0.9-pilot,316884754.0355556,935436648.6755555,295.19774516214056,True,0.0,TEMPORARY_P10_DIAGNOSTIC
ANET,US,2026-06-30,RC-2026-06-30,2026-06-23,2026-06-23,SEASONED,CALCULATED,1314153704.233333,1314153704.233333,1314153704.233333,0,0,0,v0.9-pilot,316884754.0355556,997268950.1977775,314.710296881585,True,0.0,TEMPORARY_P10_DIAGNOSTIC
APH,US,2026-06-30,RC-2026-06-30,2026-06-23,2026-06-23,SEASONED,CALCULATED,1342697168.8555555,1342697168.8555555,1342697168.8555555,0,0,0,v0.9-pilot,316884754.0355556,1025812414.8199999,323.717819098643,True,0.0,TEMPORARY_P10_DIAGNOSTIC
ATI,US,2026-06-30,RC-2026-06-30,2026-06-23,2026-06-23,SEASONED,CALCULATED,317626170.9555556,317626170.9555556,317626170.9555556,0,0,0,v0.9-pilot,316884754.0355556,741416.9200000167,0.23397052415996544,True,0.0,TEMPORARY_P10_DIAGNOSTIC
ETN,US,2026-06-30,RC-2026-06-30,2026-06-23,2026-06-23,SEASONED,CALCULATED,1016364377.2111112,1016364377.2111112,1016364377.2111112,0,0,0,v0.9-pilot,316884754.0355556,699479623.1755556,220.7362816505434,True,0.0,TEMPORARY_P10_DIAGNOSTIC
GEV,US,2026-06-30,RC-2026-06-30,2026-06-23,2026-06-23,SEASONED,CALCULATED,2508603588.3164444,2508603588.3164444,2508603588.3164444,0,0,0,v0.9-pilot,316884754.0355556,2191718834.2808886,691.6454030587315,True,0.0,TEMPORARY_P10_DIAGNOSTIC
KTOS,US,2026-06-30,RC-2026-06-30,2026-06-23,2026-06-23,SEASONED,CALCULATED,315154781.2222222,315154781.2222222,315154781.2222222,0,0,0,v0.9-pilot,316884754.0355556,-1729972.8133333921,-0.5459312230399305,False,0.0,TEMPORARY_P10_DIAGNOSTIC
TER,US,2026-06-30,RC-2026-06-30,2026-06-23,2026-06-23,SEASONED,CALCULATED,1322404734.1888888,1322404734.1888888,1322404734.1888888,0,0,0,v0.9-pilot,316884754.0355556,1005519980.1533332,317.3140920627914,True,0.0,TEMPORARY_P10_DIAGNOSTIC
