fx,days,link,ca,bmfx,n_days,index_last,index_ret_pct,bm_last,bm_ret_pct,excess_pp,fx_missing,ann_vol_pct,tracking_err_pct,max_drawdown_pct,max_daily_ret_pct,min_daily_ret_pct,repro_max_rel_err,reproduces_published
SAME_DAY,COMMON_OPEN_ONLY,SEGMENT_RELINK,NONE,CONVERT,59,1271.1384357033883,27.113843570338837,1417.7850267863269,41.77850267863268,-14.664659108293844,0,42.365275971321815,33.246945777860695,-14.92552880909721,6.085275735267848,-7.320044854554597,1.056082388086356e-15,True
SAME_DAY,COMMON_OPEN_ONLY,SEGMENT_RELINK,NONE,LEVEL_ONLY,59,1271.1384357033883,27.113843570338837,1413.6772582050044,41.36772582050043,-14.253882250161599,0,42.365275971321815,33.19528914662211,-14.92552880909721,6.085275735267848,-7.320044854554597,1.056082388086356e-15,True
SAME_DAY,COMMON_OPEN_ONLY,SEGMENT_RELINK,SPLIT_5_ON_LISTING,CONVERT,59,1337.749126999218,33.77491269992181,1417.7850267863269,41.77850267863268,-8.003589978710867,0,42.39653668754484,32.96022737002894,-15.394362530000016,6.283694730617073,-7.209765610775043,0.08033462268266822,False
SAME_DAY,COMMON_OPEN_ONLY,SEGMENT_RELINK,SPLIT_5_ON_LISTING,LEVEL_ONLY,59,1337.749126999218,33.77491269992181,1413.6772582050044,41.36772582050043,-7.592813120578623,0,42.39653668754484,32.734237067395746,-15.394362530000016,6.283694730617073,-7.209765610775043,0.08033462268266822,False
SAME_DAY,COMMON_OPEN_ONLY,SEGMENT_RELINK,SPLIT_5_ON_EFFECTIVE,CONVERT,59,1337.749126999218,33.77491269992181,1417.7850267863269,41.77850267863268,-8.003589978710867,0,71.77477648281887,65.60987169388451,-15.394362530000016,23.687822056577936,-14.70841614178976,0.20285083301970666,False
SAME_DAY,COMMON_OPEN_ONLY,SEGMENT_RELINK,SPLIT_5_ON_EFFECTIVE,LEVEL_ONLY,59,1337.749126999218,33.77491269992181,1413.6772582050044,41.36772582050043,-7.592813120578623,0,71.77477648281887,65.8156045604841,-15.394362530000016,23.687822056577936,-14.70841614178976,0.20285083301970666,False
SAME_DAY,COMMON_OPEN_ONLY,SEGMENT_RELINK,SPLIT_333_ON_LISTING,CONVERT,59,1309.9946722926225,30.999467229262258,1417.7850267863269,41.77850267863268,-10.779035449370422,0,42.06584522610234,32.661926574999704,-15.205052423596111,6.20331112411856,-7.254354407565511,0.04686186323155623,False
SAME_DAY,COMMON_OPEN_ONLY,SEGMENT_RELINK,SPLIT_333_ON_LISTING,LEVEL_ONLY,59,1309.9946722926225,30.999467229262258,1413.6772582050044,41.36772582050043,-10.368258591238178,0,42.06584522610234,32.50513970128949,-15.205052423596111,6.20331112411856,-7.254354407565511,0.04686186323155623,False
SAME_DAY,COMMON_OPEN_ONLY,DIVISOR_ADJUST,NONE,CONVERT,59,1271.1384357033894,27.113843570338947,1417.7850267863269,41.77850267863268,-14.664659108293732,0,42.365275971321815,33.246945777860724,-14.9255288090972,6.085275735267848,-7.320044854554575,8.0501725552112715e-16,True
SAME_DAY,COMMON_OPEN_ONLY,DIVISOR_ADJUST,NONE,LEVEL_ONLY,59,1271.1384357033894,27.113843570338947,1413.6772582050044,41.36772582050043,-14.253882250161487,0,42.365275971321815,33.19528914662213,-14.9255288090972,6.085275735267848,-7.320044854554575,8.0501725552112715e-16,True
