cycle,market,n,seasoning_excluded,h_P5,h_P10,boundary_band_count,P10_engine,P10_recalc,P10_match,min_value,second_value,min_security,below_P10_count,min_gap_to_P10_pct
2026-03-31,KR,9,0,0.4,0.8,0,74929527453.83112,74929527453.83112,True,34802016502.48889,84961405191.66667,018260,1,-53.553668780398155
2026-03-31,US,8,1,0.35000000000000003,0.7000000000000001,0,300714663.35444444,300714663.35444444,True,234033350.2333333,329292368.9777778,ATI,1,-22.17428055462518
2026-06-30,KR,9,0,0.4,0.8,0,127631746708.49333,127631746708.49333,True,111520555386.91112,131659544538.88889,018260,1,-12.62318485570807
2026-06-30,US,8,1,0.35000000000000003,0.7000000000000001,0,316884754.03555554,316884754.0355556,True,315154781.2222222,317626170.9555556,KTOS,1,-0.5459312230399194
