"security_id","company_name","source_column","observed_value","occurrence_count","is_known_status"
"010120","LS일렉트릭","report_type_kr","분기보고서","11","False"
"010120","LS일렉트릭","report_type_kr","사업보고서","6","False"
"010120","LS일렉트릭","report_type_kr","반기보고서","5","False"
"010120","LS일렉트릭","pair_status","PAIRED","22","False"
"012450","한화에어로스페이스","report_type","분기보고서","10","False"
"012450","한화에어로스페이스","report_type","반기보고서","5","False"
"012450","한화에어로스페이스","report_type","사업보고서","4","False"
"012450","한화에어로스페이스","pair_status","PAIRED","19","False"
"018260","삼성SDS","report_type_kr","분기보고서","12","False"
"018260","삼성SDS","report_type_kr","사업보고서","6","False"
"018260","삼성SDS","report_type_kr","반기보고서","5","False"
"018260","삼성SDS","pair_status","PAIRED","23","False"
"267260","HD현대일렉트릭","report_type_kr","분기보고서","12","False"
"267260","HD현대일렉트릭","report_type_kr","사업보고서","6","False"
"267260","HD현대일렉트릭","report_type_kr","반기보고서","6","False"
"267260","HD현대일렉트릭","pair_status","PAIRED","24","False"
