"security_id","company_name","canonical_sha256","expected_sha256","hash_match","source_type","source_container","source_relative_path","encoding","parse_status","parse_error","row_count","column_count","column_names","candidate_columns"
"010120","LS일렉트릭","BD9D2C9861816530E8C83AE494136D0E7F1F79932550BA626AB3A78465F57D3F","BD9D2C9861816530E8C83AE494136D0E7F1F79932550BA626AB3A78465F57D3F","True","DISK_EXTRACTED_COPY","C:\Soph\projects\custom_index\index_lab\report_disclosure_materials\outputs\soph_handoff_ls_electric_010120_v1_20260724_121746\review","pdf_xbrl_pairing.csv","UTF8_STRICT","PASS","","22","9","report_type_kr | filing_date | fiscal_period_inferred | is_revision | pdf_file_name | pdf_sha256 | xbrl_zip_file_name | xbrl_zip_sha256 | pair_status","report_type_kr | pair_status"
"012450","한화에어로스페이스","60F311A853351B34218907E50B73D9BBD9807D436632B7CE37C0439126629DA3","60F311A853351B34218907E50B73D9BBD9807D436632B7CE37C0439126629DA3","True","DISK_EXTRACTED_COPY","C:\Soph\projects\custom_index\index_lab\report_disclosure_materials\outputs\soph_handoff_hanwha_aerospace_012450_v1_20260725_170531\review","pdf_xbrl_pairing.csv","UTF8_STRICT","PASS","","19","6","report_type | filing_date | corrected_disclosure | pdf_file | xbrl_zip_file | pair_status","report_type | pair_status"
"018260","삼성SDS","4707AF32ED2ADF89B104D3196C532541DBCF0DCF3F6FC4BFEE8E7DCFE78316C7","4707AF32ED2ADF89B104D3196C532541DBCF0DCF3F6FC4BFEE8E7DCFE78316C7","True","DISK_EXTRACTED_COPY","C:\Soph\projects\custom_index\index_lab\report_disclosure_materials\outputs\soph_handoff_samsung_sds_018260_v1_20260725_084701\review","pdf_xbrl_pairing.csv","UTF8_STRICT","PASS","","23","9","report_type_kr | filing_date | fiscal_period_inferred | is_revision | pdf_file_name | pdf_sha256 | xbrl_zip_file_name | xbrl_zip_sha256 | pair_status","report_type_kr | pair_status"
"267260","HD현대일렉트릭","6003DE322AB76DF0BD29EF794DE6DF4E425A4B5632B764D8DEF06113106FA2F1","6003DE322AB76DF0BD29EF794DE6DF4E425A4B5632B764D8DEF06113106FA2F1","True","DISK_EXTRACTED_COPY","C:\Soph\projects\custom_index\index_lab\report_disclosure_materials\outputs\soph_handoff_hd_hyundai_electric_267260_v1_20260725_170621\review","pdf_xbrl_pairing.csv","UTF8_STRICT","PASS","","24","8","report_type_kr | filing_date | is_revision | pdf_file_name | pdf_sha256 | xbrl_zip_file_name | xbrl_zip_sha256 | pair_status","report_type_kr | pair_status"
