"security_id","company_name","row_number","candidate_fields","all_fields"
"010120","LS일렉트릭","11","report_type_kr=반기보고서 || pair_status=PAIRED","report_type_kr=반기보고서 || filing_date=2023-08-14 || fiscal_period_inferred=FY2023 반기 (2023.01-2023.06) || is_revision=False || pdf_file_name=[엘에스일렉트릭]반기보고서(2023.08.14).pdf || pdf_sha256=f2ea5095f5f4492a883c2dfbfaeb564c93aa4a15169994410fe77f2be81f5b02 || xbrl_zip_file_name=[엘에스일렉트릭]반기보고서_IFRS(원문XBRL)(2023.08.14).zip || xbrl_zip_sha256=2005b77ccc75582759a8c89ae74696cef6fae47d6e115d9278724af3030d0bfc || pair_status=PAIRED"
"010120","LS일렉트릭","12","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2023-11-14 || fiscal_period_inferred=FY2023 3분기 (2023.07-2023.09) || is_revision=False || pdf_file_name=[엘에스일렉트릭]분기보고서(2023.11.14).pdf || pdf_sha256=d7960ccb567c591c8ae3f6f11d1b3196a47f34c1733e375aee58e7b68788a756 || xbrl_zip_file_name=[엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2023.11.14).zip || xbrl_zip_sha256=4acac1600d0c08083e951b0547e7a8531e0ea1c723af9777c520dfccc6f65220 || pair_status=PAIRED"
"010120","LS일렉트릭","13","report_type_kr=사업보고서 || pair_status=PAIRED","report_type_kr=사업보고서 || filing_date=2024-03-26 || fiscal_period_inferred=FY2023 (연간, 2023.01-2023.12) || is_revision=True || pdf_file_name=[엘에스일렉트릭][정정]사업보고서(2024.03.26).pdf || pdf_sha256=62614cd41d4cd5ba1c8d7a04da7c403c73d3a0730185da42129da5fa506d742b || xbrl_zip_file_name=[엘에스일렉트릭][정정]사업보고서_IFRS(원문XBRL)(2024.03.26).zip || xbrl_zip_sha256=6747196a0dd2a60193f6208f77e6726d703f9ae2e8f4d8515606baa97765c5bd || pair_status=PAIRED"
"010120","LS일렉트릭","14","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2024-05-14 || fiscal_period_inferred=FY2024 1분기 (2024.01-2024.03) || is_revision=False || pdf_file_name=[엘에스일렉트릭]분기보고서(2024.05.14).pdf || pdf_sha256=e06e0e9e9ca5dfb0edecb5bcaffc87c72ca43f028e092e2913dcbdb8751a9048 || xbrl_zip_file_name=[엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2024.05.14).zip || xbrl_zip_sha256=7f0e66cc20cd4a5731df550b47902e62e4dfb3f7b582c345365b3964a6b85f0b || pair_status=PAIRED"
"010120","LS일렉트릭","15","report_type_kr=반기보고서 || pair_status=PAIRED","report_type_kr=반기보고서 || filing_date=2024-08-14 || fiscal_period_inferred=FY2024 반기 (2024.01-2024.06) || is_revision=False || pdf_file_name=[엘에스일렉트릭]반기보고서(2024.08.14).pdf || pdf_sha256=4e0e76c74614061f06652e5d84b62d8b2fd6fb01be03cae6fe5bd81a9d8a22d7 || xbrl_zip_file_name=[엘에스일렉트릭]반기보고서_IFRS(원문XBRL)(2024.08.14).zip || xbrl_zip_sha256=c0eb54a0da79a11802ad0ee1d41af2d5bde1a6864a54ff8d86b2600472352fc4 || pair_status=PAIRED"
"010120","LS일렉트릭","16","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2024-11-14 || fiscal_period_inferred=FY2024 3분기 (2024.07-2024.09) || is_revision=False || pdf_file_name=[엘에스일렉트릭]분기보고서(2024.11.14).pdf || pdf_sha256=f93d2838b7970fe74c76a385bd11c2829cd1692fb00e661a0914a1e493004904 || xbrl_zip_file_name=[엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2024.11.14).zip || xbrl_zip_sha256=6cec61ba82be94aa9ced1e5b4f76c4ed46c1d0f8d29036be9bc70ad5cb9be68a || pair_status=PAIRED"
"010120","LS일렉트릭","17","report_type_kr=사업보고서 || pair_status=PAIRED","report_type_kr=사업보고서 || filing_date=2025-03-17 || fiscal_period_inferred=FY2024 (연간, 2024.01-2024.12) || is_revision=False || pdf_file_name=[엘에스일렉트릭]사업보고서(2025.03.17).pdf || pdf_sha256=178bf7816f38d5cf9e23a7f32177709723f2a4e5570dc72dbce97ed42bbb94cf || xbrl_zip_file_name=[엘에스일렉트릭]사업보고서_IFRS(원문XBRL)(2025.03.17).zip || xbrl_zip_sha256=2c3de5a96a11d9e2e04c1a6b2e4105bb477195473693fb07a9feb90706b5c2bc || pair_status=PAIRED"
"010120","LS일렉트릭","18","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2025-05-15 || fiscal_period_inferred=FY2025 1분기 (2025.01-2025.03) || is_revision=False || pdf_file_name=[엘에스일렉트릭]분기보고서(2025.05.15).pdf || pdf_sha256=016191524a2255e2baa07052ab874dc1ffc5060b4acc10335ce7ebec1678a485 || xbrl_zip_file_name=[엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2025.05.15).zip || xbrl_zip_sha256=e800cdf59ed463f9cde8b16cf36b30cfe224974a242999e255eb0b0769444dcf || pair_status=PAIRED"
"010120","LS일렉트릭","19","report_type_kr=반기보고서 || pair_status=PAIRED","report_type_kr=반기보고서 || filing_date=2025-08-14 || fiscal_period_inferred=FY2025 반기 (2025.01-2025.06) || is_revision=False || pdf_file_name=[엘에스일렉트릭]반기보고서(2025.08.14).pdf || pdf_sha256=4763f598e07a1c65b37c1ae1b5b850a13c91d00eb7563eb3df6c92fce674ffcd || xbrl_zip_file_name=[엘에스일렉트릭]반기보고서_IFRS(원문XBRL)(2025.08.14).zip || xbrl_zip_sha256=09d9fdcc62a09d699ececcdff83b88a1764e6a591135c8883f44969a678625f9 || pair_status=PAIRED"
"010120","LS일렉트릭","20","report_type_kr=분기보고서 || pair_status=PAIRED","report_type_kr=분기보고서 || filing_date=2025-11-14 || fiscal_period_inferred=FY2025 3분기 (2025.07-2025.09) || is_revision=False || pdf_file_name=[엘에스일렉트릭]분기보고서(2025.11.14).pdf || pdf_sha256=a48c9d9a2d6c05ec8d8cbae57947c8b84da34f1a91636512b700c645d28659a3 || xbrl_zip_file_name=[엘에스일렉트릭]분기보고서_IFRS(원문XBRL)(2025.11.14).zip || xbrl_zip_sha256=9f365da06dc9b953ac60977e4dc80b6dd5b999a02c1212c494a87dbaa97daf0d || pair_status=PAIRED"
