security_id,qa_corp_code,corp_name,rcept_dt,rcept_no,report_nm,flr_nm,rm
010120,00105855,엘에스일렉트릭,20260205,20260205800571,[기재정정]주식분할결정              ,엘에스일렉트릭,유
010120,00105855,엘에스일렉트릭,20260205,20260205800493,주식분할결정              ,엘에스일렉트릭,유정
012450,00126566,한화에어로스페이스,20251124,20251124800579,유상증자결정(종속회사의주요경영사항)              ,한화에어로스페이스,유정
012450,00126566,한화에어로스페이스,20251124,20251124800562,유상증자결정(종속회사의주요경영사항)              ,한화에어로스페이스,유정
012450,00126566,한화에어로스페이스,20251222,20251222800718,[기재정정]유상증자결정(종속회사의주요경영사항)              ,한화에어로스페이스,유
012450,00126566,한화에어로스페이스,20251222,20251222800475,[기재정정]유상증자결정(종속회사의주요경영사항)              ,한화에어로스페이스,유
012450,00126566,한화에어로스페이스,20251223,20251223800520,[기재정정]유상증자결정(종속회사의주요경영사항)              ,한화에어로스페이스,유
012450,00126566,한화에어로스페이스,20260304,20260304801517,[기재정정]유상증자결정(종속회사의주요경영사항)              ,한화에어로스페이스,유
018260,00126186,삼성에스디에스,20260430,20260430801433,유상증자또는주식관련사채등의발행결과(자율공시)              ,삼성에스디에스,유
079550,00503668,LIG디펜스앤에어로스페이스,20260626,20260626000001,주요사항보고서(유상증자결정),LIG디펜스앤에어로스페이스,
