security_id,market,market_date,raw_close,volume,exchange_trading_value
010120,KR,2013-01-02,70400,129363,8994147700
010120,KR,2013-01-03,69700,86146,5996193500
010120,KR,2013-01-04,68800,89864,6221632300
010120,KR,2013-01-07,68500,91868,6268132300
010120,KR,2013-01-08,67800,107620,7386308200
010120,KR,2013-01-09,67600,47375,3214817700
010120,KR,2013-01-10,69500,93749,6427825500
010120,KR,2013-01-11,67900,97008,6625648000
010120,KR,2013-01-14,65400,194541,12818075000
010120,KR,2013-01-15,65400,108716,7101967700
010120,KR,2013-01-16,64600,54369,3540823700
010120,KR,2013-01-17,64800,89484,5791667200
010120,KR,2013-01-18,66900,95624,6315086100
010120,KR,2013-01-21,66900,104712,6969885200
010120,KR,2013-01-22,67800,87015,5854049500
010120,KR,2013-01-23,66600,159874,10940786100
010120,KR,2013-01-24,68000,82044,5540012900
010120,KR,2013-01-25,65900,131168,8662231600
010120,KR,2013-01-28,65200,105155,6851265600
010120,KR,2013-01-29,65400,60626,3967032300
010120,KR,2013-01-30,65900,209695,13765967900
010120,KR,2013-01-31,67400,129434,8691995700
010120,KR,2013-02-01,67200,91699,6132855800
010120,KR,2013-02-04,65900,59802,3992507300
010120,KR,2013-02-05,65500,49304,3241743100
010120,KR,2013-02-06,64400,102140,6632334900
010120,KR,2013-02-07,63300,118955,7587379600
010120,KR,2013-02-08,64200,114422,7299875600
010120,KR,2013-02-12,63700,60326,3881198800
010120,KR,2013-02-13,65400,57172,3709155200
010120,KR,2013-02-14,65500,46882,3051547400
010120,KR,2013-02-15,65700,46635,3060497400
010120,KR,2013-02-18,65500,32721,2139010100
010120,KR,2013-02-19,65400,49636,3237944600
010120,KR,2013-02-20,66200,102839,6763888100
010120,KR,2013-02-21,64300,121591,7885432800
010120,KR,2013-02-22,65600,63926,4157029000
010120,KR,2013-02-25,66100,79188,5222220700
010120,KR,2013-02-26,65000,44019,2881851400
010120,KR,2013-02-27,65700,82906,5461862400
010120,KR,2013-02-28,66800,84374,5626113300
010120,KR,2013-03-04,66000,55120,3637344400
010120,KR,2013-03-05,65700,80508,5279042500
010120,KR,2013-03-06,65700,56925,3758941300
010120,KR,2013-03-07,66000,45347,2990692600
010120,KR,2013-03-08,65700,65636,4309225400
010120,KR,2013-03-11,64900,54636,3555512500
010120,KR,2013-03-12,64000,141329,9051367400
010120,KR,2013-03-13,64000,87406,5563693400
010120,KR,2013-03-14,64700,122459,7835941200
010120,KR,2013-03-15,64000,47280,3046294400
010120,KR,2013-03-18,63500,69931,4437922800
010120,KR,2013-03-19,63900,53530,3413478100
010120,KR,2013-03-20,63200,91702,5784493900
010120,KR,2013-03-21,61800,121108,7532804300
010120,KR,2013-03-22,60700,132179,8089487900
010120,KR,2013-03-25,60800,74705,4565650800
010120,KR,2013-03-26,60000,133597,8029768700
010120,KR,2013-03-27,60500,112498,6775977100
010120,KR,2013-03-28,61100,62186,3799198500
010120,KR,2013-03-29,61600,60121,3710630900
010120,KR,2013-04-01,60500,115251,7003509700
010120,KR,2013-04-02,61000,90790,5507282400
010120,KR,2013-04-03,60900,95488,5794063300
010120,KR,2013-04-04,59500,117918,7042568900
010120,KR,2013-04-05,58500,84159,4923240200
010120,KR,2013-04-08,59000,62826,3707580400
010120,KR,2013-04-09,58100,76382,4476242200
010120,KR,2013-04-10,59000,37304,2191002500
010120,KR,2013-04-11,60400,59784,3565569000
010120,KR,2013-04-12,59500,88904,5346443700
010120,KR,2013-04-15,58100,108930,6352824500
010120,KR,2013-04-16,56100,221427,12458335300
010120,KR,2013-04-17,55900,172274,9467915600
010120,KR,2013-04-18,54600,131769,7299046700
010120,KR,2013-04-19,59300,163460,9468456000
010120,KR,2013-04-22,59300,64466,3821409400
010120,KR,2013-04-23,60400,96075,5766249800
010120,KR,2013-04-24,61100,121314,7416015300
010120,KR,2013-04-25,61300,74883,4567124100
010120,KR,2013-04-26,59800,80661,4880474800
010120,KR,2013-04-29,61300,83629,5081312200
010120,KR,2013-04-30,62200,99918,6199977000
010120,KR,2013-05-02,61100,43562,2680671700
010120,KR,2013-05-03,61900,98147,6055522900
010120,KR,2013-05-06,61000,134621,8273119500
010120,KR,2013-05-07,62300,66476,4111845100
010120,KR,2013-05-08,62700,99103,6179063000
010120,KR,2013-05-09,64000,146945,9360758900
010120,KR,2013-05-10,61600,178082,11059280200
010120,KR,2013-05-13,62200,52864,3292460400
010120,KR,2013-05-14,62800,78916,4944482500
010120,KR,2013-05-15,63200,68417,4289737100
010120,KR,2013-05-16,62800,98960,6199497800
010120,KR,2013-05-20,62500,44309,2769295800
010120,KR,2013-05-21,62500,34036,2115374700
010120,KR,2013-05-22,63200,66711,4201811800
010120,KR,2013-05-23,61700,83293,5174037100
010120,KR,2013-05-24,61000,101017,6166427800
010120,KR,2013-05-27,61000,25188,1544619200
010120,KR,2013-05-28,61500,41173,2538691200
010120,KR,2013-05-29,62100,75345,4672797300
010120,KR,2013-05-30,59500,284219,17032517500
010120,KR,2013-05-31,61000,108696,6602449500
010120,KR,2013-06-03,61900,77215,4751051200
010120,KR,2013-06-04,61500,53979,3310803232
010120,KR,2013-06-05,60400,69820,4245356900
010120,KR,2013-06-07,61200,52767,3211387100
010120,KR,2013-06-10,60400,58945,3570257300
010120,KR,2013-06-11,60300,87647,5227040700
010120,KR,2013-06-12,59400,59692,3553360000
010120,KR,2013-06-13,58100,115662,6745913300
010120,KR,2013-06-14,59000,46059,2707008000
010120,KR,2013-06-17,58200,31444,1838843000
010120,KR,2013-06-18,59200,41538,2437305400
010120,KR,2013-06-19,58500,43908,2571535600
010120,KR,2013-06-20,56900,59530,3417219500
010120,KR,2013-06-21,56300,73158,4064485000
010120,KR,2013-06-24,56300,49452,2764164800
010120,KR,2013-06-25,53700,87985,4800061500
010120,KR,2013-06-26,54300,54154,2924559700
010120,KR,2013-06-27,56300,69379,3870901700
010120,KR,2013-06-28,57300,108307,6130154300
010120,KR,2013-07-01,56500,54486,3084061400
010120,KR,2013-07-02,58300,83837,4783412800
010120,KR,2013-07-03,57600,68857,3938585400
010120,KR,2013-07-04,56700,55698,3177445100
010120,KR,2013-07-05,58700,142786,8296308400
010120,KR,2013-07-08,57000,63504,3640641400
010120,KR,2013-07-09,59800,112109,6600906600
010120,KR,2013-07-10,59000,51108,3032323600
010120,KR,2013-07-11,62600,369194,22459073100
010120,KR,2013-07-12,61800,170732,10666675900
010120,KR,2013-07-15,62300,178396,11101009300
010120,KR,2013-07-16,63000,145617,9140709300
010120,KR,2013-07-17,64000,148374,9412788300
010120,KR,2013-07-18,64600,212075,13614828300
010120,KR,2013-07-19,65900,263603,17302768800
010120,KR,2013-07-22,66100,162555,10763241800
