"security_id","company_name","nested_zip_file_name","inner_sequence","inner_file_name","inner_relative_path","inner_extension","content_role","content_read_status","content_error"
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","1","00302926_2019-11-14.xbrl","00302926_2019-11-14.xbrl",".xbrl","XBRL_INSTANCE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","2","00302926_entry_point_2019-11-14.xsd","00302926_entry_point_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","3","dim_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/dim_ifrs_for_00302926_2019-11-14.xml",".xml","DEFINITION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","4","cal_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/cal_ifrs_for_00302926_2019-11-14.xml",".xml","CALCULATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","5","pre_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/pre_ifrs_for_00302926_2019-11-14.xml",".xml","PRESENTATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","6","role_ifrs_for_00302926-dim_2019-11-14.xsd","ifrs_for_00302926/dimensions_ifrs_for_00302926/role_ifrs_for_00302926-dim_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","7","lab_00302926-ko_2019-11-14.xml","labels/lab_00302926-ko_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","8","lab_00302926-en_2019-11-14.xml","labels/lab_00302926-en_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_정정_20210602.zip","1","00302926_2019-11-14.xbrl","00302926_2019-11-14.xbrl",".xbrl","XBRL_INSTANCE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_정정_20210602.zip","2","00302926_entry_point_2019-11-14.xsd","00302926_entry_point_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_정정_20210602.zip","3","dim_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/dim_ifrs_for_00302926_2019-11-14.xml",".xml","DEFINITION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_정정_20210602.zip","4","cal_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/cal_ifrs_for_00302926_2019-11-14.xml",".xml","CALCULATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_정정_20210602.zip","5","pre_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/pre_ifrs_for_00302926_2019-11-14.xml",".xml","PRESENTATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_정정_20210602.zip","6","role_ifrs_for_00302926-dim_2019-11-14.xsd","ifrs_for_00302926/dimensions_ifrs_for_00302926/role_ifrs_for_00302926-dim_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_정정_20210602.zip","7","lab_00302926-ko_2019-11-14.xml","labels/lab_00302926-ko_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_정정_20210602.zip","8","lab_00302926-en_2019-11-14.xml","labels/lab_00302926-en_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021H1_반기보고서_원문XBRL_20210817.zip","1","00302926_2019-11-14.xbrl","00302926_2019-11-14.xbrl",".xbrl","XBRL_INSTANCE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021H1_반기보고서_원문XBRL_20210817.zip","2","00302926_entry_point_2019-11-14.xsd","00302926_entry_point_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2021H1_반기보고서_원문XBRL_20210817.zip","3","dim_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/dim_ifrs_for_00302926_2019-11-14.xml",".xml","DEFINITION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021H1_반기보고서_원문XBRL_20210817.zip","4","cal_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/cal_ifrs_for_00302926_2019-11-14.xml",".xml","CALCULATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021H1_반기보고서_원문XBRL_20210817.zip","5","pre_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/pre_ifrs_for_00302926_2019-11-14.xml",".xml","PRESENTATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021H1_반기보고서_원문XBRL_20210817.zip","6","role_ifrs_for_00302926-dim_2019-11-14.xsd","ifrs_for_00302926/dimensions_ifrs_for_00302926/role_ifrs_for_00302926-dim_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2021H1_반기보고서_원문XBRL_20210817.zip","7","lab_00302926-ko_2019-11-14.xml","labels/lab_00302926-ko_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021H1_반기보고서_원문XBRL_20210817.zip","8","lab_00302926-en_2019-11-14.xml","labels/lab_00302926-en_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021Q1_분기보고서_원문XBRL_20210517.zip","1","00302926_2019-11-14.xbrl","00302926_2019-11-14.xbrl",".xbrl","XBRL_INSTANCE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021Q1_분기보고서_원문XBRL_20210517.zip","2","00302926_entry_point_2019-11-14.xsd","00302926_entry_point_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2021Q1_분기보고서_원문XBRL_20210517.zip","3","dim_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/dim_ifrs_for_00302926_2019-11-14.xml",".xml","DEFINITION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021Q1_분기보고서_원문XBRL_20210517.zip","4","cal_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/cal_ifrs_for_00302926_2019-11-14.xml",".xml","CALCULATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021Q1_분기보고서_원문XBRL_20210517.zip","5","pre_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/pre_ifrs_for_00302926_2019-11-14.xml",".xml","PRESENTATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021Q1_분기보고서_원문XBRL_20210517.zip","6","role_ifrs_for_00302926-dim_2019-11-14.xsd","ifrs_for_00302926/dimensions_ifrs_for_00302926/role_ifrs_for_00302926-dim_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2021Q1_분기보고서_원문XBRL_20210517.zip","7","lab_00302926-ko_2019-11-14.xml","labels/lab_00302926-ko_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021Q1_분기보고서_원문XBRL_20210517.zip","8","lab_00302926-en_2019-11-14.xml","labels/lab_00302926-en_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021Q3_분기보고서_원문XBRL_20211115.zip","1","00302926_2019-11-14.xbrl","00302926_2019-11-14.xbrl",".xbrl","XBRL_INSTANCE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021Q3_분기보고서_원문XBRL_20211115.zip","2","00302926_entry_point_2019-11-14.xsd","00302926_entry_point_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2021Q3_분기보고서_원문XBRL_20211115.zip","3","dim_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/dim_ifrs_for_00302926_2019-11-14.xml",".xml","DEFINITION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021Q3_분기보고서_원문XBRL_20211115.zip","4","cal_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/cal_ifrs_for_00302926_2019-11-14.xml",".xml","CALCULATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021Q3_분기보고서_원문XBRL_20211115.zip","5","pre_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/pre_ifrs_for_00302926_2019-11-14.xml",".xml","PRESENTATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021Q3_분기보고서_원문XBRL_20211115.zip","6","role_ifrs_for_00302926-dim_2019-11-14.xsd","ifrs_for_00302926/dimensions_ifrs_for_00302926/role_ifrs_for_00302926-dim_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2021Q3_분기보고서_원문XBRL_20211115.zip","7","lab_00302926-ko_2019-11-14.xml","labels/lab_00302926-ko_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2021Q3_분기보고서_원문XBRL_20211115.zip","8","lab_00302926-en_2019-11-14.xml","labels/lab_00302926-en_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022FY_사업보고서_원문XBRL_20230310.zip","1","00302926_2019-11-14.xbrl","00302926_2019-11-14.xbrl",".xbrl","XBRL_INSTANCE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022FY_사업보고서_원문XBRL_20230310.zip","2","00302926_entry_point_2019-11-14.xsd","00302926_entry_point_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2022FY_사업보고서_원문XBRL_20230310.zip","3","dim_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/dim_ifrs_for_00302926_2019-11-14.xml",".xml","DEFINITION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022FY_사업보고서_원문XBRL_20230310.zip","4","cal_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/cal_ifrs_for_00302926_2019-11-14.xml",".xml","CALCULATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022FY_사업보고서_원문XBRL_20230310.zip","5","pre_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/pre_ifrs_for_00302926_2019-11-14.xml",".xml","PRESENTATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022FY_사업보고서_원문XBRL_20230310.zip","6","role_ifrs_for_00302926-dim_2019-11-14.xsd","ifrs_for_00302926/dimensions_ifrs_for_00302926/role_ifrs_for_00302926-dim_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2022FY_사업보고서_원문XBRL_20230310.zip","7","lab_00302926-ko_2019-11-14.xml","labels/lab_00302926-ko_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022FY_사업보고서_원문XBRL_20230310.zip","8","lab_00302926-en_2019-11-14.xml","labels/lab_00302926-en_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022H1_반기보고서_원문XBRL_20220816.zip","1","00302926_2019-11-14.xbrl","00302926_2019-11-14.xbrl",".xbrl","XBRL_INSTANCE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022H1_반기보고서_원문XBRL_20220816.zip","2","00302926_entry_point_2019-11-14.xsd","00302926_entry_point_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2022H1_반기보고서_원문XBRL_20220816.zip","3","dim_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/dim_ifrs_for_00302926_2019-11-14.xml",".xml","DEFINITION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022H1_반기보고서_원문XBRL_20220816.zip","4","cal_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/cal_ifrs_for_00302926_2019-11-14.xml",".xml","CALCULATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022H1_반기보고서_원문XBRL_20220816.zip","5","pre_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/pre_ifrs_for_00302926_2019-11-14.xml",".xml","PRESENTATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022H1_반기보고서_원문XBRL_20220816.zip","6","role_ifrs_for_00302926-dim_2019-11-14.xsd","ifrs_for_00302926/dimensions_ifrs_for_00302926/role_ifrs_for_00302926-dim_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2022H1_반기보고서_원문XBRL_20220816.zip","7","lab_00302926-ko_2019-11-14.xml","labels/lab_00302926-ko_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022H1_반기보고서_원문XBRL_20220816.zip","8","lab_00302926-en_2019-11-14.xml","labels/lab_00302926-en_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022Q1_분기보고서_원문XBRL_20220516.zip","1","00302926_2019-11-14.xbrl","00302926_2019-11-14.xbrl",".xbrl","XBRL_INSTANCE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022Q1_분기보고서_원문XBRL_20220516.zip","2","00302926_entry_point_2019-11-14.xsd","00302926_entry_point_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2022Q1_분기보고서_원문XBRL_20220516.zip","3","dim_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/dim_ifrs_for_00302926_2019-11-14.xml",".xml","DEFINITION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022Q1_분기보고서_원문XBRL_20220516.zip","4","cal_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/cal_ifrs_for_00302926_2019-11-14.xml",".xml","CALCULATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022Q1_분기보고서_원문XBRL_20220516.zip","5","pre_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/pre_ifrs_for_00302926_2019-11-14.xml",".xml","PRESENTATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022Q1_분기보고서_원문XBRL_20220516.zip","6","role_ifrs_for_00302926-dim_2019-11-14.xsd","ifrs_for_00302926/dimensions_ifrs_for_00302926/role_ifrs_for_00302926-dim_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2022Q1_분기보고서_원문XBRL_20220516.zip","7","lab_00302926-ko_2019-11-14.xml","labels/lab_00302926-ko_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022Q1_분기보고서_원문XBRL_20220516.zip","8","lab_00302926-en_2019-11-14.xml","labels/lab_00302926-en_2019-11-14.xml",".xml","LABEL_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022Q3_분기보고서_원문XBRL_20221114.zip","1","00302926_2019-11-14.xbrl","00302926_2019-11-14.xbrl",".xbrl","XBRL_INSTANCE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022Q3_분기보고서_원문XBRL_20221114.zip","2","00302926_entry_point_2019-11-14.xsd","00302926_entry_point_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
"064350","현대로템","DART_064350_현대로템_2022Q3_분기보고서_원문XBRL_20221114.zip","3","dim_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/dim_ifrs_for_00302926_2019-11-14.xml",".xml","DEFINITION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022Q3_분기보고서_원문XBRL_20221114.zip","4","cal_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/cal_ifrs_for_00302926_2019-11-14.xml",".xml","CALCULATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022Q3_분기보고서_원문XBRL_20221114.zip","5","pre_ifrs_for_00302926_2019-11-14.xml","ifrs_for_00302926/dimensions_ifrs_for_00302926/pre_ifrs_for_00302926_2019-11-14.xml",".xml","PRESENTATION_LINKBASE","PASS",""
"064350","현대로템","DART_064350_현대로템_2022Q3_분기보고서_원문XBRL_20221114.zip","6","role_ifrs_for_00302926-dim_2019-11-14.xsd","ifrs_for_00302926/dimensions_ifrs_for_00302926/role_ifrs_for_00302926-dim_2019-11-14.xsd",".xsd","XSD_SCHEMA","NOT_REQUIRED",""
