"security_id","company_name","outer_package_file_name","outer_package_sha256","nested_zip_file_name","nested_zip_sha256","inner_sequence","inner_relative_path","inner_file_name","inner_extension","uncompressed_size_bytes","compressed_size_bytes","is_instance_candidate","is_xsd","is_label_marker","is_presentation_marker","is_calculation_marker","is_definition_marker","inner_sha256","inner_status","inner_error"
"064350","현대로템","soph_handoff_hyundai_rotem_v1.zip","EC0974326CBDCBD06B36919ABDAC05F9395D0DB7443278C35E39422A3CF158EB","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","C75677699E4FFC1BE0B2C6EFDF3E37863596F59BBF69BDCF44E1F2EE22F62ED2","1","00302926_2019-11-14.xbrl","00302926_2019-11-14.xbrl",".xbrl","289741","14155","True","False","False","False","False","False","9E5EDF69BD9E64D4E41536044A91ED0A3614E85EB569C13BBEE1DE36C6D5EAC3","PASS",""
"064350","현대로템","soph_handoff_hyundai_rotem_v1.zip","EC0974326CBDCBD06B36919ABDAC05F9395D0DB7443278C35E39422A3CF158EB","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","C75677699E4FFC1BE0B2C6EFDF3E37863596F59BBF69BDCF44E1F2EE22F62ED2","2","00302926_entry_point_2019-11-14.xsd","00302926_entry_point_2019-11-14.xsd",".xsd","5638","1045","False","True","False","False","False","False","8844B35025A1445EF3414F041B665D17EB6056368F021FEF7587DDDE30B27FEE","PASS",""
"064350","현대로템","soph_handoff_hyundai_rotem_v1.zip","EC0974326CBDCBD06B36919ABDAC05F9395D0DB7443278C35E39422A3CF158EB","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","C75677699E4FFC1BE0B2C6EFDF3E37863596F59BBF69BDCF44E1F2EE22F62ED2","3","ifrs_for_00302926/dimensions_ifrs_for_00302926/dim_ifrs_for_00302926_2019-11-14.xml","dim_ifrs_for_00302926_2019-11-14.xml",".xml","1454978","62676","True","False","False","False","False","False","1738242D9404AA3F6818D88F14B3BAF5C0C0AAF17AE43F0238003BC27606FD85","PASS",""
"064350","현대로템","soph_handoff_hyundai_rotem_v1.zip","EC0974326CBDCBD06B36919ABDAC05F9395D0DB7443278C35E39422A3CF158EB","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","C75677699E4FFC1BE0B2C6EFDF3E37863596F59BBF69BDCF44E1F2EE22F62ED2","4","ifrs_for_00302926/dimensions_ifrs_for_00302926/cal_ifrs_for_00302926_2019-11-14.xml","cal_ifrs_for_00302926_2019-11-14.xml",".xml","1384541","58023","True","False","False","False","False","False","49DA86689E3F0FCDFF83A2A1F074E5325FAA71C4A81C6A787284B09CF2A95E1C","PASS",""
"064350","현대로템","soph_handoff_hyundai_rotem_v1.zip","EC0974326CBDCBD06B36919ABDAC05F9395D0DB7443278C35E39422A3CF158EB","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","C75677699E4FFC1BE0B2C6EFDF3E37863596F59BBF69BDCF44E1F2EE22F62ED2","5","ifrs_for_00302926/dimensions_ifrs_for_00302926/pre_ifrs_for_00302926_2019-11-14.xml","pre_ifrs_for_00302926_2019-11-14.xml",".xml","1484637","63742","True","False","False","False","False","False","E544E69A4819286B474B6EF385F41D3F2A1BEA3457CFEA389D7FB423AEC9D30A","PASS",""
"064350","현대로템","soph_handoff_hyundai_rotem_v1.zip","EC0974326CBDCBD06B36919ABDAC05F9395D0DB7443278C35E39422A3CF158EB","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","C75677699E4FFC1BE0B2C6EFDF3E37863596F59BBF69BDCF44E1F2EE22F62ED2","6","ifrs_for_00302926/dimensions_ifrs_for_00302926/role_ifrs_for_00302926-dim_2019-11-14.xsd","role_ifrs_for_00302926-dim_2019-11-14.xsd",".xsd","649","310","False","True","False","False","False","False","6BA920DF09443C2038CC7D0B16056BFB63B0A97E12D1A57FB8BF9D219320AFF0","PASS",""
"064350","현대로템","soph_handoff_hyundai_rotem_v1.zip","EC0974326CBDCBD06B36919ABDAC05F9395D0DB7443278C35E39422A3CF158EB","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","C75677699E4FFC1BE0B2C6EFDF3E37863596F59BBF69BDCF44E1F2EE22F62ED2","7","labels/lab_00302926-ko_2019-11-14.xml","lab_00302926-ko_2019-11-14.xml",".xml","92790","6200","True","False","False","False","False","False","1149C361601264EF79D6DEFDF7CACC1B447B953D9C26E05DDF1AC24A4EA31590","PASS",""
"064350","현대로템","soph_handoff_hyundai_rotem_v1.zip","EC0974326CBDCBD06B36919ABDAC05F9395D0DB7443278C35E39422A3CF158EB","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_20220315.zip","C75677699E4FFC1BE0B2C6EFDF3E37863596F59BBF69BDCF44E1F2EE22F62ED2","8","labels/lab_00302926-en_2019-11-14.xml","lab_00302926-en_2019-11-14.xml",".xml","12611","1248","True","False","False","False","False","False","229D2D2DB09AE9063BABA9C125B6445FD631815411A82704D3D9D1264E70C825","PASS",""
"064350","현대로템","soph_handoff_hyundai_rotem_v1.zip","EC0974326CBDCBD06B36919ABDAC05F9395D0DB7443278C35E39422A3CF158EB","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_정정_20210602.zip","0BB19C37FDA97A1BE5D2DAB340377AD928C7CF7237C44833AD50D83D1258D2E7","1","00302926_2019-11-14.xbrl","00302926_2019-11-14.xbrl",".xbrl","279649","13735","True","False","False","False","False","False","2339B11E42B9B9B5E913EB46763D6CFFBE23156AB67FBE888ED4A7DD56C61049","PASS",""
"064350","현대로템","soph_handoff_hyundai_rotem_v1.zip","EC0974326CBDCBD06B36919ABDAC05F9395D0DB7443278C35E39422A3CF158EB","DART_064350_현대로템_2021FY_사업보고서_원문XBRL_정정_20210602.zip","0BB19C37FDA97A1BE5D2DAB340377AD928C7CF7237C44833AD50D83D1258D2E7","2","00302926_entry_point_2019-11-14.xsd","00302926_entry_point_2019-11-14.xsd",".xsd","6212","1103","False","True","False","False","False","False","75343D891C90EC13382C64C44A72AB711D5B1AEB0F307385B5E92EB6620ADAFF","PASS",""
