security_id,entity_id,market,primary_theme,gate_status,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id,exclusion_reasons,selected_flag,selection_status,composition_method,cap_scenario,selection_rule_version,cell_id
012450,,KR,SPACE_DEFENSE,CANDIDATE,2024-03-22,90,90,0,0,0,90,2762,SEASONED,106246406560.72223,106246406560.72223,106246406560.72223,ZERO,v0.9-pilot,CALCULATED,2024-03-22,2024-03-31,RC-2024-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064350,,KR,SPACE_DEFENSE,CANDIDATE,2024-03-22,90,90,0,0,0,90,2558,SEASONED,46719305501.111115,46719305501.111115,46719305501.111115,ZERO,v0.9-pilot,CALCULATED,2024-03-22,2024-03-31,RC-2024-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
079550,,KR,SPACE_DEFENSE,CANDIDATE,2024-03-22,90,90,0,0,0,90,2084,SEASONED,69923035534.44444,69923035534.44444,69923035534.44444,ZERO,v0.9-pilot,CALCULATED,2024-03-22,2024-03-31,RC-2024-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064400,,KR,AI_ROBOTICS,CANDIDATE,2024-03-22,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2024-03-22,2024-03-31,RC-2024-03-31,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
018260,,KR,AI_ROBOTICS,CANDIDATE,2024-03-22,90,90,0,0,0,90,2302,SEASONED,28038685948.055557,28038685948.055557,28038685948.055557,ZERO,v0.9-pilot,CALCULATED,2024-03-22,2024-03-31,RC-2024-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
307950,,KR,AI_ROBOTICS,CANDIDATE,2024-03-22,90,90,0,0,0,90,1232,SEASONED,27471948105.555557,27471948105.555557,27471948105.555557,ZERO,v0.9-pilot,CALCULATED,2024-03-22,2024-03-31,RC-2024-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
010120,,KR,ENERGY_POWER,CANDIDATE,2024-03-22,90,90,0,0,0,90,2762,SEASONED,21897804913.333332,21897804913.333332,21897804913.333332,ZERO,v0.9-pilot,CALCULATED,2024-03-22,2024-03-31,RC-2024-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
267260,,KR,ENERGY_POWER,CANDIDATE,2024-03-22,90,90,0,0,0,90,1691,SEASONED,32174671441.91111,32174671441.91111,32174671441.91111,ZERO,v0.9-pilot,CALCULATED,2024-03-22,2024-03-31,RC-2024-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
298040,,KR,ENERGY_POWER,CANDIDATE,2024-03-22,90,90,0,0,0,90,1403,SEASONED,17206069330.0,17206069330.0,17206069330.0,ZERO,v0.9-pilot,CALCULATED,2024-03-22,2024-03-31,RC-2024-03-31,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
TER,E_TER,US,AI_ROBOTICS,CANDIDATE,2024-03-22,90,90,0,0,0,90,2796,SEASONED,177647704.05555555,177647704.05555555,177647704.05555555,ZERO,v0.9-pilot,CALCULATED,2024-03-22,2024-03-31,RC-2024-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
ANET,E_ANET,US,AI_ROBOTICS,CANDIDATE,2024-03-22,90,90,0,0,0,90,2437,SEASONED,563325633.5777777,563325633.5777777,563325633.5777777,ZERO,v0.9-pilot,CALCULATED,2024-03-22,2024-03-31,RC-2024-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
ALAB,E_ALAB,US,AI_ROBOTICS,CANDIDATE,2024-03-22,90,3,0,0,0,3,3,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2024-03-22,2024-03-31,RC-2024-03-31,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
GEV,E_GEV,US,ENERGY_POWER,CANDIDATE,2024-03-22,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2024-03-22,2024-03-31,RC-2024-03-31,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
ETN,E_ETN,US,ENERGY_POWER,CANDIDATE,2024-03-22,90,90,0,0,0,90,2796,SEASONED,436288627.8333333,436288627.8333333,436288627.8333333,ZERO,v0.9-pilot,CALCULATED,2024-03-22,2024-03-31,RC-2024-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
APH,E_APH,US,ENERGY_POWER,CANDIDATE,2024-03-22,90,90,0,0,0,90,2796,SEASONED,259242440.9888889,259242440.9888889,259242440.9888889,ZERO,v0.9-pilot,CALCULATED,2024-03-22,2024-03-31,RC-2024-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
SPCX,E_SPCX,US,SPACE_DEFENSE,CANDIDATE,2024-03-22,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2024-03-22,2024-03-31,RC-2024-03-31,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_SPACE_DEFENSE
KTOS,E_KTOS,US,SPACE_DEFENSE,CANDIDATE,2024-03-22,90,90,0,0,0,90,2796,SEASONED,24120525.844444446,24120525.844444446,24120525.844444446,ZERO,v0.9-pilot,CALCULATED,2024-03-22,2024-03-31,RC-2024-03-31,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_SPACE_DEFENSE
ATI,E_ATI,US,SPACE_DEFENSE,CANDIDATE,2024-03-22,90,90,0,0,0,90,2796,SEASONED,62773598.47777778,62773598.47777778,62773598.47777778,ZERO,v0.9-pilot,CALCULATED,2024-03-22,2024-03-31,RC-2024-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_SPACE_DEFENSE
