security_id,entity_id,market,primary_theme,gate_status,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id,exclusion_reasons,selected_flag,selection_status,composition_method,cap_scenario,selection_rule_version,cell_id
012450,,KR,SPACE_DEFENSE,CANDIDATE,2019-09-23,90,90,0,0,0,90,1652,SEASONED,9796188212.133333,9796188212.133333,9796188212.133333,ZERO,v0.9-pilot,CALCULATED,2019-09-23,2019-09-30,RC-2019-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064350,,KR,SPACE_DEFENSE,CANDIDATE,2019-09-23,90,90,0,0,0,90,1448,SEASONED,11220255955.0,11220255955.0,11220255955.0,ZERO,v0.9-pilot,CALCULATED,2019-09-23,2019-09-30,RC-2019-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
079550,,KR,SPACE_DEFENSE,CANDIDATE,2019-09-23,90,90,0,0,0,90,974,SEASONED,2999406086.6666665,2999406086.6666665,2999406086.6666665,ZERO,v0.9-pilot,CALCULATED,2019-09-23,2019-09-30,RC-2019-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064400,,KR,AI_ROBOTICS,CANDIDATE,2019-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2019-09-23,2019-09-30,RC-2019-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
018260,,KR,AI_ROBOTICS,CANDIDATE,2019-09-23,90,90,0,0,0,90,1192,SEASONED,14674325079.077778,14674325079.077778,14674325079.077778,ZERO,v0.9-pilot,CALCULATED,2019-09-23,2019-09-30,RC-2019-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
307950,,KR,AI_ROBOTICS,CANDIDATE,2019-09-23,90,90,0,0,0,90,122,SEASONED,2469170025.5555553,2469170025.5555553,2469170025.5555553,ZERO,v0.9-pilot,CALCULATED,2019-09-23,2019-09-30,RC-2019-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
010120,,KR,ENERGY_POWER,CANDIDATE,2019-09-23,90,90,0,0,0,90,1652,SEASONED,2989473755.0,2989473755.0,2989473755.0,ZERO,v0.9-pilot,CALCULATED,2019-09-23,2019-09-30,RC-2019-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
267260,,KR,ENERGY_POWER,CANDIDATE,2019-09-23,90,90,0,0,0,90,581,SEASONED,1783546416.6666667,1783546416.6666667,1783546416.6666667,ZERO,v0.9-pilot,CALCULATED,2019-09-23,2019-09-30,RC-2019-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
298040,,KR,ENERGY_POWER,CANDIDATE,2019-09-23,90,90,0,0,0,90,293,SEASONED,1454050574.4444444,1454050574.4444444,1454050574.4444444,ZERO,v0.9-pilot,CALCULATED,2019-09-23,2019-09-30,RC-2019-09-30,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
TER,E_TER,US,AI_ROBOTICS,CANDIDATE,2019-09-23,90,90,0,0,0,90,1669,SEASONED,111497896.2,111497896.2,111497896.2,ZERO,v0.9-pilot,CALCULATED,2019-09-23,2019-09-30,RC-2019-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
ANET,E_ANET,US,AI_ROBOTICS,CANDIDATE,2019-09-23,90,90,0,0,0,90,1310,SEASONED,220318262.13688892,220318262.13688892,220318262.13688892,ZERO,v0.9-pilot,CALCULATED,2019-09-23,2019-09-30,RC-2019-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
ALAB,E_ALAB,US,AI_ROBOTICS,CANDIDATE,2019-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2019-09-23,2019-09-30,RC-2019-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
GEV,E_GEV,US,ENERGY_POWER,CANDIDATE,2019-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2019-09-23,2019-09-30,RC-2019-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
ETN,E_ETN,US,ENERGY_POWER,CANDIDATE,2019-09-23,90,90,0,0,0,90,1669,SEASONED,181964592.41111112,181964592.41111112,181964592.41111112,ZERO,v0.9-pilot,CALCULATED,2019-09-23,2019-09-30,RC-2019-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
APH,E_APH,US,ENERGY_POWER,CANDIDATE,2019-09-23,90,90,0,0,0,90,1669,SEASONED,136926888.94444445,136926888.94444445,136926888.94444445,ZERO,v0.9-pilot,CALCULATED,2019-09-23,2019-09-30,RC-2019-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
SPCX,E_SPCX,US,SPACE_DEFENSE,CANDIDATE,2019-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2019-09-23,2019-09-30,RC-2019-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_SPACE_DEFENSE
