security_id,entity_id,market,primary_theme,gate_status,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id,exclusion_reasons,selected_flag,selection_status,composition_method,cap_scenario,selection_rule_version,cell_id
012450,,KR,SPACE_DEFENSE,CANDIDATE,2021-06-23,90,90,0,0,0,90,2085,SEASONED,30748833856.666668,30748833856.666668,30748833856.666668,ZERO,v0.9-pilot,CALCULATED,2021-06-23,2021-06-30,RC-2021-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064350,,KR,SPACE_DEFENSE,CANDIDATE,2021-06-23,90,90,0,0,0,90,1881,SEASONED,51370054987.22222,51370054987.22222,51370054987.22222,ZERO,v0.9-pilot,CALCULATED,2021-06-23,2021-06-30,RC-2021-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
079550,,KR,SPACE_DEFENSE,CANDIDATE,2021-06-23,90,90,0,0,0,90,1407,SEASONED,9926068021.11111,9926068021.11111,9926068021.11111,ZERO,v0.9-pilot,CALCULATED,2021-06-23,2021-06-30,RC-2021-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064400,,KR,AI_ROBOTICS,CANDIDATE,2021-06-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2021-06-23,2021-06-30,RC-2021-06-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
018260,,KR,AI_ROBOTICS,CANDIDATE,2021-06-23,90,90,0,0,0,90,1625,SEASONED,28109023461.11111,28109023461.11111,28109023461.11111,ZERO,v0.9-pilot,CALCULATED,2021-06-23,2021-06-30,RC-2021-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
307950,,KR,AI_ROBOTICS,CANDIDATE,2021-06-23,90,90,0,0,0,90,555,SEASONED,12150410333.333334,12150410333.333334,12150410333.333334,ZERO,v0.9-pilot,CALCULATED,2021-06-23,2021-06-30,RC-2021-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
010120,,KR,ENERGY_POWER,CANDIDATE,2021-06-23,90,90,0,0,0,90,2085,SEASONED,6617891148.888889,6617891148.888889,6617891148.888889,ZERO,v0.9-pilot,CALCULATED,2021-06-23,2021-06-30,RC-2021-06-30,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
267260,,KR,ENERGY_POWER,CANDIDATE,2021-06-23,90,90,0,0,0,90,1014,SEASONED,11534558313.88889,11534558313.88889,11534558313.88889,ZERO,v0.9-pilot,CALCULATED,2021-06-23,2021-06-30,RC-2021-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
298040,,KR,ENERGY_POWER,CANDIDATE,2021-06-23,90,90,0,0,0,90,726,SEASONED,8606589352.222221,8606589352.222221,8606589352.222221,ZERO,v0.9-pilot,CALCULATED,2021-06-23,2021-06-30,RC-2021-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
TER,E_TER,US,AI_ROBOTICS,CANDIDATE,2021-06-23,90,90,0,0,0,90,2106,SEASONED,221021792.13333333,221021792.13333333,221021792.13333333,ZERO,v0.9-pilot,CALCULATED,2021-06-23,2021-06-30,RC-2021-06-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
