security_id,entity_id,market,primary_theme,gate_status,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id,exclusion_reasons,selected_flag,selection_status,composition_method,cap_scenario,selection_rule_version,cell_id
012450,,KR,SPACE_DEFENSE,CANDIDATE,2014-09-23,90,90,0,0,0,90,425,SEASONED,9509189230.555555,9509189230.555555,9509189230.555555,ZERO,v0.9-pilot,CALCULATED,2014-09-23,2014-09-30,RC-2014-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064350,,KR,SPACE_DEFENSE,CANDIDATE,2014-09-23,90,90,0,0,0,90,221,SEASONED,7637932723.333333,7637932723.333333,7637932723.333333,ZERO,v0.9-pilot,CALCULATED,2014-09-23,2014-09-30,RC-2014-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
079550,,KR,SPACE_DEFENSE,CANDIDATE,2014-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2014-09-23,2014-09-30,RC-2014-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064400,,KR,AI_ROBOTICS,CANDIDATE,2014-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2014-09-23,2014-09-30,RC-2014-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
018260,,KR,AI_ROBOTICS,CANDIDATE,2014-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2014-09-23,2014-09-30,RC-2014-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
307950,,KR,AI_ROBOTICS,CANDIDATE,2014-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2014-09-23,2014-09-30,RC-2014-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
010120,,KR,ENERGY_POWER,CANDIDATE,2014-09-23,90,90,0,0,0,90,425,SEASONED,3456019293.211111,3456019293.211111,3456019293.211111,ZERO,v0.9-pilot,CALCULATED,2014-09-23,2014-09-30,RC-2014-09-30,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
267260,,KR,ENERGY_POWER,CANDIDATE,2014-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2014-09-23,2014-09-30,RC-2014-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
298040,,KR,ENERGY_POWER,CANDIDATE,2014-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2014-09-23,2014-09-30,RC-2014-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
TER,E_TER,US,AI_ROBOTICS,CANDIDATE,2014-09-23,90,90,0,0,0,90,435,SEASONED,45481907.12222222,45481907.12222222,45481907.12222222,ZERO,v0.9-pilot,CALCULATED,2014-09-23,2014-09-30,RC-2014-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
ANET,E_ANET,US,AI_ROBOTICS,CANDIDATE,2014-09-23,90,76,0,0,0,76,76,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2014-09-23,2014-09-30,RC-2014-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
ALAB,E_ALAB,US,AI_ROBOTICS,CANDIDATE,2014-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2014-09-23,2014-09-30,RC-2014-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
GEV,E_GEV,US,ENERGY_POWER,CANDIDATE,2014-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2014-09-23,2014-09-30,RC-2014-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
ETN,E_ETN,US,ENERGY_POWER,CANDIDATE,2014-09-23,90,90,0,0,0,90,435,SEASONED,204017344.35555556,204017344.35555556,204017344.35555556,ZERO,v0.9-pilot,CALCULATED,2014-09-23,2014-09-30,RC-2014-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
APH,E_APH,US,ENERGY_POWER,CANDIDATE,2014-09-23,90,90,0,0,0,90,435,SEASONED,51729258.25066667,51729258.25066667,51729258.25066667,ZERO,v0.9-pilot,CALCULATED,2014-09-23,2014-09-30,RC-2014-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
SPCX,E_SPCX,US,SPACE_DEFENSE,CANDIDATE,2014-09-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2014-09-23,2014-09-30,RC-2014-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_SPACE_DEFENSE
KTOS,E_KTOS,US,SPACE_DEFENSE,CANDIDATE,2014-09-23,90,90,0,0,0,90,435,SEASONED,3422879.688888889,3422879.688888889,3422879.688888889,ZERO,v0.9-pilot,CALCULATED,2014-09-23,2014-09-30,RC-2014-09-30,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_SPACE_DEFENSE
ATI,E_ATI,US,SPACE_DEFENSE,CANDIDATE,2014-09-23,90,90,0,0,0,90,435,SEASONED,43918631.54444444,43918631.54444444,43918631.54444444,ZERO,v0.9-pilot,CALCULATED,2014-09-23,2014-09-30,RC-2014-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_SPACE_DEFENSE
