security_id,entity_id,market,primary_theme,gate_status,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id,exclusion_reasons,selected_flag,selection_status,composition_method,cap_scenario,selection_rule_version,cell_id
012450,,KR,SPACE_DEFENSE,CANDIDATE,2019-12-23,90,90,0,0,0,90,1715,SEASONED,13799018584.666666,13799018584.666666,13799018584.666666,ZERO,v0.9-pilot,CALCULATED,2019-12-23,2019-12-31,RC-2019-12-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064350,,KR,SPACE_DEFENSE,CANDIDATE,2019-12-23,90,90,0,0,0,90,1511,SEASONED,8686254856.666666,8686254856.666666,8686254856.666666,ZERO,v0.9-pilot,CALCULATED,2019-12-23,2019-12-31,RC-2019-12-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
079550,,KR,SPACE_DEFENSE,CANDIDATE,2019-12-23,90,90,0,0,0,90,1037,SEASONED,2763539916.111111,2763539916.111111,2763539916.111111,ZERO,v0.9-pilot,CALCULATED,2019-12-23,2019-12-31,RC-2019-12-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064400,,KR,AI_ROBOTICS,CANDIDATE,2019-12-23,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2019-12-23,2019-12-31,RC-2019-12-31,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
018260,,KR,AI_ROBOTICS,CANDIDATE,2019-12-23,90,90,0,0,0,90,1255,SEASONED,13898473181.177778,13898473181.177778,13898473181.177778,ZERO,v0.9-pilot,CALCULATED,2019-12-23,2019-12-31,RC-2019-12-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
307950,,KR,AI_ROBOTICS,CANDIDATE,2019-12-23,90,90,0,0,0,90,185,SEASONED,2055752846.6666667,2055752846.6666667,2055752846.6666667,ZERO,v0.9-pilot,CALCULATED,2019-12-23,2019-12-31,RC-2019-12-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
010120,,KR,ENERGY_POWER,CANDIDATE,2019-12-23,90,90,0,0,0,90,1715,SEASONED,2595429622.2222223,2595429622.2222223,2595429622.2222223,ZERO,v0.9-pilot,CALCULATED,2019-12-23,2019-12-31,RC-2019-12-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
267260,,KR,ENERGY_POWER,CANDIDATE,2019-12-23,90,90,0,0,0,90,644,SEASONED,2073808914.3333333,2073808914.3333333,2073808914.3333333,ZERO,v0.9-pilot,CALCULATED,2019-12-23,2019-12-31,RC-2019-12-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
298040,,KR,ENERGY_POWER,CANDIDATE,2019-12-23,90,90,0,0,0,90,356,SEASONED,1018634309.4444444,1018634309.4444444,1018634309.4444444,ZERO,v0.9-pilot,CALCULATED,2019-12-23,2019-12-31,RC-2019-12-31,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
TER,E_TER,US,AI_ROBOTICS,CANDIDATE,2019-12-23,90,90,0,0,0,90,1732,SEASONED,117436762.41111112,117436762.41111112,117436762.41111112,ZERO,v0.9-pilot,CALCULATED,2019-12-23,2019-12-31,RC-2019-12-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
