security_id,entity_id,market,primary_theme,gate_status,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id,exclusion_reasons,selected_flag,selection_status,composition_method,cap_scenario,selection_rule_version,cell_id
012450,,KR,SPACE_DEFENSE,CANDIDATE,2016-12-22,90,90,0,0,0,90,981,SEASONED,34843290224.76667,34843290224.76667,34843290224.76667,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064350,,KR,SPACE_DEFENSE,CANDIDATE,2016-12-22,90,90,0,0,0,90,777,SEASONED,4997725140.555555,4997725140.555555,4997725140.555555,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
079550,,KR,SPACE_DEFENSE,CANDIDATE,2016-12-22,90,90,0,0,0,90,303,SEASONED,9733823827.466667,9733823827.466667,9733823827.466667,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064400,,KR,AI_ROBOTICS,CANDIDATE,2016-12-22,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-12-22,2016-12-31,RC-2016-12-31,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
018260,,KR,AI_ROBOTICS,CANDIDATE,2016-12-22,90,90,0,0,0,90,521,SEASONED,16724922983.333334,16724922983.333334,16724922983.333334,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
307950,,KR,AI_ROBOTICS,CANDIDATE,2016-12-22,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-12-22,2016-12-31,RC-2016-12-31,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
010120,,KR,ENERGY_POWER,CANDIDATE,2016-12-22,90,90,0,0,0,90,981,SEASONED,2811934364.4444447,2811934364.4444447,2811934364.4444447,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
267260,,KR,ENERGY_POWER,CANDIDATE,2016-12-22,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-12-22,2016-12-31,RC-2016-12-31,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
298040,,KR,ENERGY_POWER,CANDIDATE,2016-12-22,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2016-12-22,2016-12-31,RC-2016-12-31,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
TER,E_TER,US,AI_ROBOTICS,CANDIDATE,2016-12-22,90,90,0,0,0,90,1003,SEASONED,43274711.96666667,43274711.96666667,43274711.96666667,ZERO,v0.9-pilot,CALCULATED,2016-12-22,2016-12-31,RC-2016-12-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
