security_id,entity_id,market,primary_theme,gate_status,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id,exclusion_reasons,selected_flag,selection_status,composition_method,cap_scenario,selection_rule_version,cell_id
012450,,KR,SPACE_DEFENSE,CANDIDATE,2021-03-24,90,90,0,0,0,90,2022,SEASONED,31909701446.38889,31909701446.38889,31909701446.38889,ZERO,v0.9-pilot,CALCULATED,2021-03-24,2021-03-31,RC-2021-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064350,,KR,SPACE_DEFENSE,CANDIDATE,2021-03-24,90,90,0,0,0,90,1818,SEASONED,61518542598.888885,61518542598.888885,61518542598.888885,ZERO,v0.9-pilot,CALCULATED,2021-03-24,2021-03-31,RC-2021-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
079550,,KR,SPACE_DEFENSE,CANDIDATE,2021-03-24,90,90,0,0,0,90,1344,SEASONED,7465643470.555555,7465643470.555555,7465643470.555555,ZERO,v0.9-pilot,CALCULATED,2021-03-24,2021-03-31,RC-2021-03-31,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064400,,KR,AI_ROBOTICS,CANDIDATE,2021-03-24,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2021-03-24,2021-03-31,RC-2021-03-31,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
018260,,KR,AI_ROBOTICS,CANDIDATE,2021-03-24,90,90,0,0,0,90,1562,SEASONED,54785547394.44444,54785547394.44444,54785547394.44444,ZERO,v0.9-pilot,CALCULATED,2021-03-24,2021-03-31,RC-2021-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
307950,,KR,AI_ROBOTICS,CANDIDATE,2021-03-24,90,90,0,0,0,90,492,SEASONED,28319453272.22222,28319453272.22222,28319453272.22222,ZERO,v0.9-pilot,CALCULATED,2021-03-24,2021-03-31,RC-2021-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
010120,,KR,ENERGY_POWER,CANDIDATE,2021-03-24,90,90,0,0,0,90,2022,SEASONED,14315796982.222221,14315796982.222221,14315796982.222221,ZERO,v0.9-pilot,CALCULATED,2021-03-24,2021-03-31,RC-2021-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
267260,,KR,ENERGY_POWER,CANDIDATE,2021-03-24,90,90,0,0,0,90,951,SEASONED,11022892033.333334,11022892033.333334,11022892033.333334,ZERO,v0.9-pilot,CALCULATED,2021-03-24,2021-03-31,RC-2021-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
298040,,KR,ENERGY_POWER,CANDIDATE,2021-03-24,90,90,0,0,0,90,663,SEASONED,16987654138.88889,16987654138.88889,16987654138.88889,ZERO,v0.9-pilot,CALCULATED,2021-03-24,2021-03-31,RC-2021-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
TER,E_TER,US,AI_ROBOTICS,CANDIDATE,2021-03-24,90,90,0,0,0,90,2044,SEASONED,231247030.5,231247030.5,231247030.5,ZERO,v0.9-pilot,CALCULATED,2021-03-24,2021-03-31,RC-2021-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
ANET,E_ANET,US,AI_ROBOTICS,CANDIDATE,2021-03-24,90,90,0,0,0,90,1685,SEASONED,171321758.25066665,171321758.25066665,171321758.25066665,ZERO,v0.9-pilot,CALCULATED,2021-03-24,2021-03-31,RC-2021-03-31,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
