effective_date,turnover,cost,max_weight
2013-10-01,0.02854278333734242,2.852424601573289e-05,0.3333333333333333
2014-01-02,0.027381221258258218,1.9166854880780815e-05,0.3333333333333333
2014-04-01,0.09917136834376823,0.00019468548531082226,0.3333333333333333
2014-07-01,0.030534809496151873,2.6277815570573064e-05,0.3333333333333333
2014-10-01,0.05760953671422224,4.799406758554405e-05,0.3333333333333333
2015-01-02,0.21156842885869298,0.0002003726527498997,0.1666666666666666
2015-04-01,0.03523577688914128,3.35280850537308e-05,0.1666666666666666
2015-07-01,0.20576699018139427,0.00020609878364482922,0.1666666666666666
2015-10-01,0.08253570545481578,0.00016212340230019917,0.1666666666666666
2016-01-04,0.28671186617399436,0.0003159899301330102,0.1666666666666666
2016-04-01,0.16636758482520608,0.00026722235246806977,0.1666666666666666
2016-07-01,0.049341721943278315,9.816771799124232e-05,0.1666666666666666
2016-10-04,0.2347893646231417,0.0005146970381505761,0.1666666666666666
2017-01-03,0.0594883038989632,4.3142773420307156e-05,0.1666666666666666
2017-04-03,0.03373372485608877,3.929974553410736e-05,0.1666666666666666
2017-07-03,0.04144632031783111,9.081543820638703e-05,0.1666666666666666
2017-10-10,0.22960322236853414,0.00016072225565797398,0.1666666666666666
2018-01-02,0.13992515161549976,0.00025756678046039936,0.1666666666666666
2018-04-02,0.06671153755747174,0.00012425168356451519,0.1666666666666666
2018-07-02,0.1449025899911395,0.00023297732334537783,0.1666666666666666
2018-10-01,0.16390986332974586,0.0003498175132488767,0.1666666666666666
2019-01-02,0.1080369956797847,0.00024151289014098605,0.1666666666666666
2019-04-01,0.04726267012683967,3.308386908878785e-05,0.1666666666666666
2019-07-02,0.046190728740528694,4.863160980711644e-05,0.1666666666666666
2019-10-01,0.14464953265825492,0.00027073994848328246,0.1666666666666666
2020-01-02,0.04617342690496075,5.1677109090480186e-05,0.1666666666666666
2020-04-01,0.09237917338487411,0.0001091522814387771,0.1666666666666666
2020-07-01,0.1698558928071152,0.00034804295531462717,0.1666666666666666
2020-10-05,0.09962872766028177,0.00023695019369804256,0.1666666666666666
2021-01-04,0.1773898185833595,0.00029598700392406734,0.1666666666666666
2021-04-01,0.23117255885945934,0.0002468604644587509,0.1666666666666666
2021-07-01,0.14381007152187236,0.00030665402326021353,0.1666666666666666
2021-10-01,0.06957503779533346,0.00013017815452433896,0.1666666666666666
2022-01-03,0.24393704319741188,0.00027678934752842606,0.1666666666666666
2022-04-01,0.17887923651216883,0.00026605404653619986,0.1666666666666666
2022-07-01,0.05937560285456947,0.00014719157221798534,0.1666666666666666
2022-10-04,0.07270182631088037,8.019461701891045e-05,0.1666666666666666
2023-01-03,0.16901007444640243,0.00038025630791614737,0.1666666666666666
2023-04-03,0.07365751758326607,7.497816420864554e-05,0.1666666666666666
2023-07-03,0.15053384854011714,0.0003431382162530909,0.1666666666666666
2023-10-04,0.16391000806515835,0.00034088041742343474,0.1666666666666666
2024-01-02,0.1328827771130071,0.000284637110887834,0.1666666666666666
2024-04-01,0.08888278987055834,0.0001958903556558258,0.1666666666666666
2024-07-01,0.21584737888993574,0.00047848436472242077,0.1666666666666666
2024-10-02,0.13449753495808303,0.0001829032775061606,0.1666666666666666
2025-01-02,0.1108644152348386,9.55164664220309e-05,0.1666666666666666
2025-04-01,0.10961022440232672,0.00026735193512300646,0.1666666666666666
2025-07-01,0.14990312044727783,0.00034698345748083195,0.1666666666666666
2025-10-01,0.24705126251417953,0.00025204537202224776,0.1666666666666666
2026-01-02,0.17587653912999557,0.0003570357367499244,0.1666666666666666
2026-04-01,0.10840148488437243,0.00021361192622030732,0.1666666666666666
2026-07-01,0.2613674251884486,0.00025537602826468354,0.1666666666666666
