security_id,entity_id,market,primary_theme,gate_status,observation_end_date,open_days_target,observed_open_days,halt_days_90,zero_volume_days_90,missing_days_90,traded_days_90,seasoning_days,seasoning_status,adtv90_zero,adtv90_exclude_halt,official_adtv90,official_adtv90_method,rule_version,adtv90_status,data_cutoff_date,selection_date,review_cycle_id,exclusion_reasons,selected_flag,selection_status,composition_method,cap_scenario,selection_rule_version,cell_id
012450,,KR,SPACE_DEFENSE,CANDIDATE,2018-09-19,90,90,0,0,0,90,1407,SEASONED,13108946714.711111,13108946714.711111,13108946714.711111,ZERO,v0.9-pilot,CALCULATED,2018-09-19,2018-09-30,RC-2018-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064350,,KR,SPACE_DEFENSE,CANDIDATE,2018-09-19,90,90,0,0,0,90,1203,SEASONED,163173356868.33334,163173356868.33334,163173356868.33334,ZERO,v0.9-pilot,CALCULATED,2018-09-19,2018-09-30,RC-2018-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
079550,,KR,SPACE_DEFENSE,CANDIDATE,2018-09-19,90,90,0,0,0,90,729,SEASONED,6770316876.666667,6770316876.666667,6770316876.666667,ZERO,v0.9-pilot,CALCULATED,2018-09-19,2018-09-30,RC-2018-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_SPACE_DEFENSE
064400,,KR,AI_ROBOTICS,CANDIDATE,2018-09-19,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2018-09-19,2018-09-30,RC-2018-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
018260,,KR,AI_ROBOTICS,CANDIDATE,2018-09-19,90,90,0,0,0,90,947,SEASONED,25105440299.255554,25105440299.255554,25105440299.255554,ZERO,v0.9-pilot,CALCULATED,2018-09-19,2018-09-30,RC-2018-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
307950,,KR,AI_ROBOTICS,CANDIDATE,2018-09-19,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2018-09-19,2018-09-30,RC-2018-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_AI_ROBOTICS
010120,,KR,ENERGY_POWER,CANDIDATE,2018-09-19,90,90,0,0,0,90,1407,SEASONED,9217499496.188889,9217499496.188889,9217499496.188889,ZERO,v0.9-pilot,CALCULATED,2018-09-19,2018-09-30,RC-2018-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
267260,,KR,ENERGY_POWER,CANDIDATE,2018-09-19,90,90,0,0,0,90,336,SEASONED,5911925644.444445,5911925644.444445,5911925644.444445,ZERO,v0.9-pilot,CALCULATED,2018-09-19,2018-09-30,RC-2018-09-30,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
298040,,KR,ENERGY_POWER,CANDIDATE,2018-09-19,90,48,0,0,0,48,48,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2018-09-19,2018-09-30,RC-2018-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,KR_ENERGY_POWER
TER,E_TER,US,AI_ROBOTICS,CANDIDATE,2018-09-19,90,90,0,0,0,90,1440,SEASONED,100100215.84444444,100100215.84444444,100100215.84444444,ZERO,v0.9-pilot,CALCULATED,2018-09-19,2018-09-30,RC-2018-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
ANET,E_ANET,US,AI_ROBOTICS,CANDIDATE,2018-09-19,90,90,0,0,0,90,1081,SEASONED,269963260.4266667,269963260.4266667,269963260.4266667,ZERO,v0.9-pilot,CALCULATED,2018-09-19,2018-09-30,RC-2018-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
ALAB,E_ALAB,US,AI_ROBOTICS,CANDIDATE,2018-09-19,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2018-09-19,2018-09-30,RC-2018-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_AI_ROBOTICS
GEV,E_GEV,US,ENERGY_POWER,CANDIDATE,2018-09-19,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2018-09-19,2018-09-30,RC-2018-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
ETN,E_ETN,US,ENERGY_POWER,CANDIDATE,2018-09-19,90,90,0,0,0,90,1440,SEASONED,195358444.7111111,195358444.7111111,195358444.7111111,ZERO,v0.9-pilot,CALCULATED,2018-09-19,2018-09-30,RC-2018-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
APH,E_APH,US,ENERGY_POWER,CANDIDATE,2018-09-19,90,90,0,0,0,90,1440,SEASONED,108593078.72222222,108593078.72222222,108593078.72222222,ZERO,v0.9-pilot,CALCULATED,2018-09-19,2018-09-30,RC-2018-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_ENERGY_POWER
SPCX,E_SPCX,US,SPACE_DEFENSE,CANDIDATE,2018-09-19,90,0,0,0,0,0,0,SEASONING_INCOMPLETE,,,,ZERO,v0.9-pilot,SEASONING_INCOMPLETE,2018-09-19,2018-09-30,RC-2018-09-30,SEASONING;ADTV90_SEASONING_INCOMPLETE,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_SPACE_DEFENSE
KTOS,E_KTOS,US,SPACE_DEFENSE,CANDIDATE,2018-09-19,90,90,0,0,0,90,1440,SEASONED,13193825.788888888,13193825.788888888,13193825.788888888,ZERO,v0.9-pilot,CALCULATED,2018-09-19,2018-09-30,RC-2018-09-30,LIQUIDITY_BELOW_P10,0,NOT_SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_SPACE_DEFENSE
ATI,E_ATI,US,SPACE_DEFENSE,CANDIDATE,2018-09-19,90,90,0,0,0,90,1440,SEASONED,42596144.81111111,42596144.81111111,42596144.81111111,ZERO,v0.9-pilot,CALCULATED,2018-09-19,2018-09-30,RC-2018-09-30,,1,SELECTED,A_ALL_ELIGIBLE,NO_CAP,v0.9-pilot,US_SPACE_DEFENSE
